index,model_name,accuracy,training_time,data_type
0,SGDClassifier,0.9395089850670716,0.021493196487426758,tampere
1,SVC,0.9326752720830169,0.2849881649017334,tampere
2,LogisticRegression,0.9319159706403443,0.04422283172607422,tampere
3,GradientBoostingClassifier,0.911921032649962,4.093716621398926,tampere
4,XGBClassifier,0.9281194634269805,0.42107224464416504,tampere
5,MLPClassifier,0.9362186788154897,1.8201844692230225,tampere
6,KNeighborsClassifier,0.8714249557074158,0.2724263668060303,tampere
7,AdaBoostClassifier,0.48215641609719057,0.4594380855560303,tampere
8,RandomForestClassifier,0.8597823335864339,0.2764735221862793,tampere
9,GaussianNB,0.8354846874209061,0.008187055587768555,tampere
10,DecisionTreeClassifier,0.7717033662363959,0.026159286499023438,tampere
11,LinearDiscriminantAnalysis,0.9336876740065806,0.011356830596923828,tampere
12,QuadraticDiscriminantAnalysis,0.815236648949633,0.07069802284240723,tampere
