index,model_name,accuracy,training_time,data_type
0,SGDClassifier,0.9096431283219438,0.021115779876708984,tampere
1,SVC,0.9053404201467983,0.2947564125061035,tampere
2,LogisticRegression,0.914705137939762,0.19139671325683594,tampere
3,GradientBoostingClassifier,0.8936977980258163,2.4324100017547607,tampere
4,XGBClassifier,0.9104024297646166,0.38563036918640137,tampere
5,MLPClassifier,0.9225512528473804,1.5173852443695068,tampere
6,KNeighborsClassifier,0.8640850417615793,0.17134594917297363,tampere
7,AdaBoostClassifier,0.5408757276638826,0.2974236011505127,tampere
8,RandomForestClassifier,0.8759807643634523,0.21120214462280273,tampere
9,GaussianNB,0.5854214123006833,0.0059146881103515625,tampere
10,DecisionTreeClassifier,0.7934700075930144,0.01810598373413086,tampere
11,LinearDiscriminantAnalysis,0.8949633004302708,0.010270357131958008,tampere
12,QuadraticDiscriminantAnalysis,0.8134649455833967,0.06567740440368652,tampere
