index,model_name,accuracy,training_time,data_type
0,SGDClassifier,0.9268539610225259,0.02888798713684082,tampere
1,SVC,0.9136927360161984,0.5963585376739502,tampere
2,LogisticRegression,0.9260946595798532,0.16763901710510254,tampere
3,GradientBoostingClassifier,0.8830675778283978,4.966214656829834,tampere
4,XGBClassifier,0.9104024297646166,0.6610338687896729,tampere
5,MLPClassifier,0.9331814730447988,2.8850409984588623,tampere
6,KNeighborsClassifier,0.8615540369526702,0.24492931365966797,tampere
7,AdaBoostClassifier,0.5841559098962288,0.6754205226898193,tampere
8,RandomForestClassifier,0.8790179701341433,0.3295011520385742,tampere
9,GaussianNB,0.5641609719058466,0.013318777084350586,tampere
10,DecisionTreeClassifier,0.7879017970134143,0.04173779487609863,tampere
11,LinearDiscriminantAnalysis,0.9392558845861807,0.01943516731262207,tampere
12,QuadraticDiscriminantAnalysis,0.533535813718046,0.0670628547668457,tampere
