index,model_name,accuracy,training_time,data_type
0,SGDClassifier,0.9233105542900532,0.029198884963989258,tampere
1,SVC,0.906099721589471,0.41637682914733887,tampere
2,LogisticRegression,0.9217919514047077,0.10855555534362793,tampere
3,GradientBoostingClassifier,0.8830675778283978,3.638658285140991,tampere
4,XGBClassifier,0.9078714249557074,0.4677860736846924,tampere
5,MLPClassifier,0.9336876740065806,2.8513782024383545,tampere
6,KNeighborsClassifier,0.862313338395343,0.2556123733520508,tampere
7,AdaBoostClassifier,0.5998481397114654,0.5363149642944336,tampere
8,RandomForestClassifier,0.8726904581118704,0.28781867027282715,tampere
9,GaussianNB,0.5585927613262465,0.009184122085571289,tampere
10,DecisionTreeClassifier,0.7866362946089598,0.028819799423217773,tampere
11,LinearDiscriminantAnalysis,0.9139458364970894,0.012568950653076172,tampere
12,QuadraticDiscriminantAnalysis,0.7529739306504682,0.042479753494262695,tampere
