index,model_name,accuracy,training_time,data_type
knn,knn,0.8663629460895975,0.11192536354064941,tampere
logistic,logistic,0.9334345735256897,0.030046939849853516,tampere
sgd,sgd,0.9336876740065806,0.010107755661010742,tampere
decision_tree,decision_tree,0.7727157681599595,0.016002178192138672,tampere
random_forest,random_forest,0.8790179701341433,0.1901721954345703,tampere
svc_1,svc_1,0.3844596304732979,0.06834006309509277,tampere
svc_2,svc_2,0.9291318653505442,0.1441340446472168,tampere
svc_3,svc_3,0.9334345735256897,0.19291186332702637,tampere
mlp,mlp,0.9445709946848899,0.6022012233734131,tampere
naive_bayes,naive_bayes,0.856238926853961,0.012152671813964844,tampere
linear_discriminant,linear_discriminant,0.938243482662617,0.04021930694580078,tampere
quadratic_discriminant,quadratic_discriminant,0.8678815489749431,0.0238187313079834,tampere
adaboost,adaboost,0.5069602632245002,0.2459864616394043,tampere
gradientboost,gradientboost,0.9212857504429258,3.30130934715271,tampere
xgboost,xgboost,0.9319159706403443,0.23749041557312012,tampere
