index,model_name,accuracy,training_time,data_type
0,SGDClassifier,0.9510309278350515,0.3638620376586914,uts
1,SVC,0.9639175257731959,4.997562408447266,uts
2,LogisticRegression,0.9484536082474226,1.1500864028930664,uts
3,GradientBoostingClassifier,0.8685567010309279,211.5319664478302,uts
4,XGBClassifier,0.9381443298969072,13.047423124313354,uts
5,MLPClassifier,0.9381443298969072,6.796224117279053,uts
6,KNeighborsClassifier,0.9484536082474226,0.12274718284606934,uts
7,AdaBoostClassifier,0.15206185567010308,4.558103084564209,uts
8,RandomForestClassifier,0.8865979381443299,2.1042892932891846,uts
9,GaussianNB,0.8994845360824743,0.014987945556640625,uts
10,DecisionTreeClassifier,0.7216494845360825,0.33834075927734375,uts
11,LinearDiscriminantAnalysis,0.9407216494845361,0.1807248592376709,uts
12,QuadraticDiscriminantAnalysis,0.5051546391752577,0.38858699798583984,uts
