index,model_name,accuracy,training_time,data_type
0,SGDClassifier,0.9381443298969072,0.24215269088745117,uts
1,SVC,0.961340206185567,2.4942753314971924,uts
2,LogisticRegression,0.9510309278350515,0.8862419128417969,uts
3,GradientBoostingClassifier,0.884020618556701,48.55681586265564,uts
4,XGBClassifier,0.9355670103092784,6.6546595096588135,uts
5,MLPClassifier,0.9510309278350515,6.763115167617798,uts
6,KNeighborsClassifier,0.9510309278350515,0.1114356517791748,uts
7,AdaBoostClassifier,0.211340206185567,2.4225351810455322,uts
8,RandomForestClassifier,0.8943298969072165,1.512373447418213,uts
9,GaussianNB,0.9072164948453608,0.008860349655151367,uts
10,DecisionTreeClassifier,0.7216494845360825,0.1612238883972168,uts
11,LinearDiscriminantAnalysis,0.9484536082474226,0.08401155471801758,uts
12,QuadraticDiscriminantAnalysis,0.5979381443298969,0.10459613800048828,uts
