index,model_name,accuracy,training_time,data_type
0,SGDClassifier,0.9432989690721649,0.23322176933288574,uts
1,SVC,0.961340206185567,2.5234711170196533,uts
2,LogisticRegression,0.9510309278350515,0.877371072769165,uts
3,GradientBoostingClassifier,0.8943298969072165,48.946829080581665,uts
4,XGBClassifier,0.9355670103092784,6.780090093612671,uts
5,MLPClassifier,0.9510309278350515,6.726437091827393,uts
6,KNeighborsClassifier,0.9510309278350515,0.10692954063415527,uts
7,AdaBoostClassifier,0.211340206185567,2.4303011894226074,uts
8,RandomForestClassifier,0.865979381443299,1.5049281120300293,uts
9,GaussianNB,0.9072164948453608,0.009131431579589844,uts
10,DecisionTreeClassifier,0.7216494845360825,0.16288971900939941,uts
11,LinearDiscriminantAnalysis,0.9484536082474226,0.08723807334899902,uts
12,QuadraticDiscriminantAnalysis,0.5979381443298969,0.09773111343383789,uts
