index,model_name,accuracy,training_time,data_type
knn,knn,0.9432989690721649,0.10938668251037598,uts
logistic,logistic,0.9484536082474226,0.7512407302856445,uts
sgd,sgd,0.9407216494845361,0.4560821056365967,uts
decision_tree,decision_tree,0.7216494845360825,0.6389338970184326,uts
random_forest,random_forest,0.8865979381443299,4.069830894470215,uts
svc_1,svc_1,0.9072164948453608,5.163082122802734,uts
svc_2,svc_2,0.9639175257731959,1.872197151184082,uts
svc_3,svc_3,0.9561855670103093,7.700740814208984,uts
mlp,mlp,0.9355670103092784,5.7417027950286865,uts
naive_bayes,naive_bayes,0.8917525773195877,0.04865765571594238,uts
linear_discriminant,linear_discriminant,0.9407216494845361,0.34966349601745605,uts
quadratic_discriminant,quadratic_discriminant,0.595360824742268,0.386981725692749,uts
adaboost,adaboost,0.14948453608247422,9.00521993637085,uts
gradientboost,gradientboost,0.8402061855670103,166.59912657737732,uts
xgboost,xgboost,0.9355670103092784,6.9796435832977295,uts
