index,model_name,accuracy,training_time,data_type
0,SGDClassifier,0.9081908190819082,0.32958531379699707,uji
1,SVC,0.9270927092709271,27.586108207702637,uji
2,LogisticRegression,0.9018901890189019,1.8589119911193848,uji
3,GradientBoostingClassifier,0.8928892889288929,563.836767911911,uji
4,XGBClassifier,0.9108910891089109,41.09211015701294,uji
5,MLPClassifier,0.9243924392439244,21.252323389053345,uji
6,KNeighborsClassifier,0.8685868586858686,0.628680944442749,uji
7,AdaBoostClassifier,0.44284428442844287,14.591270446777344,uji
8,RandomForestClassifier,0.8163816381638164,6.678113698959351,uji
9,GaussianNB,0.38073807380738073,0.023992538452148438,uji
10,DecisionTreeClassifier,0.6291629162916291,1.272043228149414,uji
11,LinearDiscriminantAnalysis,0.9018901890189019,0.34147047996520996,uji
12,QuadraticDiscriminantAnalysis,0.7884788478847885,0.2094898223876953,uji
