index,model_name,accuracy,training_time,data_type
0,SGDClassifier,0.8793879387938794,9.63318157196045,uji
1,SVC,0.8487848784878488,78.89150786399841,uji
2,LogisticRegression,0.9000900090009001,5.627262830734253,uji
3,GradientBoostingClassifier,0.7722772277227723,482.6021771430969,uji
4,XGBClassifier,0.8910891089108911,73.59737730026245,uji
5,MLPClassifier,0.8802880288028803,24.80248785018921,uji
6,KNeighborsClassifier,0.8163816381638164,0.8089935779571533,uji
7,AdaBoostClassifier,0.21872187218721872,5.533621549606323,uji
8,RandomForestClassifier,0.6984698469846985,1.2290706634521484,uji
9,GaussianNB,0.4158415841584158,0.07802414894104004,uji
10,DecisionTreeClassifier,0.31233123312331235,0.316819429397583,uji
11,LinearDiscriminantAnalysis,0.8883888388838884,1.2388043403625488,uji
12,QuadraticDiscriminantAnalysis,0.43924392439243926,1.8678362369537354,uji
