index,model_name,accuracy,training_time,data_type
knn,knn,0.8811881188118812,0.5403566360473633,uji
logistic,logistic,0.9054905490549054,1.0742154121398926,uji
sgd,sgd,0.918091809180918,0.1839299201965332,uji
decision_tree,decision_tree,0.6291629162916291,0.9188938140869141,uji
random_forest,random_forest,0.7875787578757876,6.5794970989227295,uji
svc_1,svc_1,0.882988298829883,13.970324754714966,uji
svc_2,svc_2,0.9198919891989199,4.4782609939575195,uji
svc_3,svc_3,0.9270927092709271,14.875645875930786,uji
mlp,mlp,0.9198919891989199,19.135172605514526,uji
naive_bayes,naive_bayes,0.5229522952295229,0.04300498962402344,uji
linear_discriminant,linear_discriminant,0.9045904590459046,0.2095966339111328,uji
quadratic_discriminant,quadratic_discriminant,0.846984698469847,0.13094234466552734,uji
adaboost,adaboost,0.1998199819981998,13.008460521697998,uji
gradientboost,gradientboost,0.8874887488748875,546.8872413635254,uji
xgboost,xgboost,0.9081908190819082,14.036362886428833,uji
