index,model_name,accuracy,training_time,data_type
0,SGDClassifier,0.8820882088208821,0.8172156810760498,uji
1,SVC,0.9063906390639064,29.637694597244263,uji
2,LogisticRegression,0.8955895589558955,4.1704559326171875,uji
3,GradientBoostingClassifier,0.7992799279927992,2637.427601337433,uji
4,XGBClassifier,0.9045904590459046,97.68249106407166,uji
5,MLPClassifier,0.8955895589558955,26.249703407287598,uji
6,KNeighborsClassifier,0.8379837983798379,0.667902946472168,uji
7,AdaBoostClassifier,0.31053105310531054,25.768108129501343,uji
8,RandomForestClassifier,0.8028802880288028,8.839247703552246,uji
9,GaussianNB,0.5382538253825383,0.04204750061035156,uji
10,DecisionTreeClassifier,0.7641764176417641,2.2390716075897217,uji
11,LinearDiscriminantAnalysis,0.8685868586858686,0.5931007862091064,uji
12,QuadraticDiscriminantAnalysis,0.48604860486048607,0.7426795959472656,uji
