index,model_name,accuracy,training_time,data_type
0,SGDClassifier,0.8460846084608461,7.061721086502075,uji
1,SVC,0.8505850585058505,24.11681342124939,uji
2,LogisticRegression,0.8883888388838884,3.1328606605529785,uji
3,GradientBoostingClassifier,0.7407740774077408,1452.2566809654236,uji
4,XGBClassifier,0.8775877587758776,54.00170135498047,uji
5,MLPClassifier,0.8955895589558955,23.73613691329956,uji
6,KNeighborsClassifier,0.8370837083708371,0.6239826679229736,uji
7,AdaBoostClassifier,0.39243924392439244,14.604796409606934,uji
8,RandomForestClassifier,0.7956795679567957,6.457583665847778,uji
9,GaussianNB,0.44554455445544555,0.023912668228149414,uji
10,DecisionTreeClassifier,0.720972097209721,1.235905647277832,uji
11,LinearDiscriminantAnalysis,0.8685868586858686,0.31986117362976074,uji
12,QuadraticDiscriminantAnalysis,0.5697569756975698,0.48235249519348145,uji
