index,model_name,accuracy,training_time,data_type
0,SGDClassifier,0.882988298829883,6.992322206497192,uji
1,SVC,0.8460846084608461,41.8897385597229,uji
2,LogisticRegression,0.8946894689468947,4.007563352584839,uji
3,GradientBoostingClassifier,0.1332133213321332,2546.0814945697784,uji
4,XGBClassifier,0.8784878487848785,98.20627188682556,uji
5,MLPClassifier,0.9000900090009001,23.81373119354248,uji
6,KNeighborsClassifier,0.8244824482448245,0.7169058322906494,uji
7,AdaBoostClassifier,0.39243924392439244,26.84728717803955,uji
8,RandomForestClassifier,0.8037803780378038,9.319465398788452,uji
9,GaussianNB,0.45544554455445546,0.04223966598510742,uji
10,DecisionTreeClassifier,0.720972097209721,2.288831949234009,uji
11,LinearDiscriminantAnalysis,0.9081908190819082,0.5385687351226807,uji
12,QuadraticDiscriminantAnalysis,0.49864986498649866,0.8843536376953125,uji
